order_status,MAX_FREIGHT,MAX_PRICE,MAX_PAYMENT,MIN_FREIGHT,MIN_PRICE,MIN_PAYMENT,MEDIAN_PRICE,MEDIAN_FREIGHT,MEDIAN_PAYMENT,AVG_FREIGHT,AVG_PRICE,AVG_PAYMENT,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY,ORDER_PURCHASE_HOUR
delivered,88.00,1599.00,29762.00,88.00,1599.00,29762.00,1599.000000,88.000000,29762.000000,88.000000,1599.000000,29762.000000,2017,1,14,Saturday,18
delivered,4536.00,159900.00,7416.00,4536.00,159900.00,7416.00,159900.000000,4536.000000,7416.000000,4536.000000,159900.000000,7416.000000,2017,1,14,Saturday,21
shipped,1510.00,1999.00,44636.00,1510.00,1999.00,44636.00,1999.000000,1510.000000,44636.000000,1510.000000,1999.000000,44636.000000,2017,1,14,Saturday,21
delivered,4445.00,57980.00,215857.00,4445.00,57980.00,215857.00,57980.000000,4445.000000,215857.000000,4445.000000,57980.000000,215857.000000,2017,1,15,Sunday,10
delivered,6351.00,17990.00,194486.00,1848.00,8390.00,7114.00,13190.000000,4099.500000,100800.000000,4099.500000,13190.000000,100800.000000,2017,1,15,Sunday,14
delivered,1618.00,6990.00,7023.00,1618.00,6990.00,7023.00,6990.000000,1618.000000,7023.000000,1618.000000,6990.000000,7023.000000,2017,1,15,Sunday,15
delivered,4254.00,19900.00,7634.00,1764.00,3700.00,2583.00,11800.000000,3009.000000,5108.500000,3009.000000,11800.000000,5108.500000,2017,1,15,Sunday,23
delivered,2044.00,21900.00,10778.00,2044.00,21900.00,10778.00,21900.000000,2044.000000,10778.000000,2044.000000,21900.000000,10778.000000,2017,1,16,Monday,0
delivered,1823.00,19990.00,97000.00,1021.00,4500.00,2000.00,12245.000000,1422.000000,49500.000000,1409.000000,9397.250000,30973.000000,2017,1,16,Monday,13
invoiced,2370.00,11900.00,34719.00,2370.00,11900.00,34719.00,11900.000000,2370.000000,34719.000000,2370.000000,11900.000000,34719.000000,2017,1,16,Monday,16
delivered,1429.00,7990.00,20731.00,778.00,1910.00,3096.00,4950.000000,1103.500000,11913.500000,1101.000000,4830.000000,12855.330000,2017,1,16,Monday,21
delivered,1936.00,4242.00,3777.00,1936.00,4242.00,3777.00,4242.000000,1936.000000,3777.000000,1936.000000,4242.000000,3777.000000,2017,1,17,Tuesday,10
delivered,11026.00,126000.00,12578.00,2667.00,8400.00,1822.00,67200.000000,6846.500000,7200.000000,6846.500000,67200.000000,7200.000000,2017,1,17,Tuesday,11
delivered,811.00,2030.00,7612.00,811.00,2030.00,7612.00,2030.000000,811.000000,7612.000000,811.000000,2030.000000,7612.000000,2017,1,17,Tuesday,19
delivered,1517.00,5890.00,9299.00,1269.00,3840.00,8661.00,4865.000000,1393.000000,8980.000000,1393.000000,4865.000000,8980.000000,2017,1,17,Tuesday,22
delivered,1763.00,3990.00,8149.00,1763.00,3990.00,8149.00,3990.000000,1763.000000,8149.000000,1763.000000,3990.000000,8149.000000,2017,1,18,Wednseday,2
delivered,6001.00,11200.00,19808.00,1205.00,7880.00,4309.00,9540.000000,3603.000000,12058.500000,3603.000000,9540.000000,12058.500000,2017,1,18,Wednseday,8
processing,9064.00,38900.00,9644.00,9064.00,38900.00,9644.00,38900.000000,9064.000000,9644.000000,9064.000000,38900.000000,9644.000000,2017,1,18,Wednseday,9
invoiced,1601.00,18000.00,7458.00,1601.00,18000.00,7458.00,18000.000000,1601.000000,7458.000000,1601.000000,18000.000000,7458.000000,2017,1,18,Wednseday,12
